Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,is_dnf
250019452,とんがり帽子のアトリエ 16 [Tongari Bōshi no Atelier 16],Kamome Shirahama,"Shirahama, Kamome",,4065431522,9784065431528,5,Kodansha,Paperback,176.0,2026.0,2026.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#165), read-2026 (#31)",read,,,,1,0,False
249467594,Witch Hat Atelier 15,Kamome Shirahama,"Shirahama, Kamome",,,9798888779781,5,Kodansha Comics,Paperback,,2026.0,2025.0,2026/05/03,2026/05/03,,,read,,,,1,0,False
236773505,"Witch Hat Atelier, Vol. 14",Kamome Shirahama,"Shirahama, Kamome",,,9798888776858,5,Kodansha Comics,Paperback,176.0,2026.0,2025.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#164), read-2026 (#30)",read,,,,1,0,False
211401518,"Witch Hat Atelier, Vol. 13",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Vanessa Tenazas",,9798888773307,5,Kodansha Comics,Paperback,192.0,2025.0,2024.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#163), read-2026 (#29)",read,,,,1,0,False
197522392,"Witch Hat Atelier, Vol. 12",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Alanna Ruse, Angela Zurlo, Phil Balsman",,9798888770795,5,Kodansha Comics,Paperback,192.0,2024.0,2023.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#162), read-2026 (#28)",read,,,,1,0,False
62672577,"Witch Hat Atelier, Vol. 11",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Phil Balsman",1646517458,9781646517459,5,Kodansha Comics,Paperback,160.0,2023.0,2022.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#161), read-2026 (#27)",read,,,,1,0,False
60914201,"Witch Hat Atelier, Vol. 10",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Phil Balsman, Haruko Hashimoto",1646516184,9781646516186,4,Kodansha Comics ,Paperback,156.0,2022.0,2022.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#160), read-2026 (#26)",read,,,,1,0,False
59082282,"Witch Hat Atelier, Vol. 9",Kamome Shirahama,"Shirahama, Kamome",Stephen Kohler,1646514475,9781646514472,4,Kodansha Comics,Paperback,174.0,2022.0,2021.0,2026/05/02,2026/05/01,"mangas, read-2026","mangas (#159), read-2026 (#25)",read,,,,1,0,False
56770286,"Witch Hat Atelier, Vol. 8",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Phil Balsman",1646512693,9781646512690,4,Kodansha Comics,Paperback,154.0,2021.0,2020.0,2026/04/29,2026/04/24,mangas,mangas (#158),read,,,,1,0,False
231126909,How to Fake It in Society,K.J. Charles,"Charles, K.J.",,1250395917,9781250395917,4,Bramble,Paperback,320.0,2026.0,2026.0,2026/04/30,2026/04/11,"coming-2026, romance, read-2026","coming-2026 (#11), romance (#100), read-2026 (#24)",read,,,,1,0,False
53130454,"Witch Hat Atelier, Vol. 7",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Phil Balsman",164651078,9781646510788,4,Kodansha Comics,Paperback,170.0,2021.0,2020.0,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#157), read-2026 (#23)",read,,,,1,0,False
54112688,Witch Hat Atelier Vol. 6,Kamome Shirahama,"Shirahama, Kamome",,1646595750,9781646595754,4,Kodansha Comics,Kindle Edition,178.0,2020.0,2019.0,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#156), read-2026 (#22)",read,,,,1,0,False
49497694,"Witch Hat Atelier, Vol. 5",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Ajani Oloye, Jacob Friedman",163236929,9781632369291,4,Kodansha Comics,Paperback,188.0,2020.0,2019.0,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#155), read-2026 (#21)",read,,,,1,0,False
44784784,"Witch Hat Atelier, Vol. 4",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Ajani Oloye",1632368609,9781632368607,4,Kodansha Comics,Paperback,188.0,2019.0,2018.0,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#154), read-2026 (#20)",read,,,,1,0,False
43312297,"Witch Hat Atelier, Vol. 3",Kamome Shirahama,"Shirahama, Kamome",,1632368056,9781632368058,4,Kodansha Comics,Paperback,190.0,2019.0,2018.0,2026/04/24,2026/04/23,"mangas, read-2026","mangas (#153), read-2026 (#19)",read,,,,1,0,False
42264867,"Witch Hat Atelier, Vol. 2",Kamome Shirahama,"Shirahama, Kamome",Stephen Kohler,1632368048,9781632368041,4,Kodansha Comics,Paperback,190.0,2019.0,2017.0,2026/04/23,2026/04/23,"mangas, read-2026","mangas (#152), read-2026 (#18)",read,,,,1,0,False
40893782,"Witch Hat Atelier, Vol. 1",Kamome Shirahama,"Shirahama, Kamome",Stephen Kohler,163236770,9781632367709,4,Kodansha Comics,Paperback,204.0,2019.0,2017.0,2026/04/23,2022/04/20,"mangas, read-2026","mangas (#112), read-2026 (#17)",read,,,,1,0,False
217247918,"Ultimate X-Men, Vol. 2: Children of the Atom",Peach Momoko,"Momoko, Peach","Zack Davisson, Travis Lanham",130295833,9781302958336,4,Marvel,Paperback,144.0,2025.0,2025.0,2026/04/22,2026/04/22,"comics, read-2026","comics (#102), read-2026 (#16)",read,,,,1,0,False
20744034,A cabeça do santo,Socorro Acioli,"Acioli, Socorro",,8535923691,9788535923698,5,Companhia das Letras,Paperback,168.0,2014.0,2014.0,2026/04/21,2026/02/27,read-2026,read-2026 (#15),read,,,,1,0,False
