Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,is_dnf,Description,Genres_Enriched,All_Tags
250019452,とんがり帽子のアトリエ 16 [Tongari Bōshi no Atelier 16],Kamome Shirahama,"Shirahama, Kamome",,4065431522.0,9784065431528.0,5,Kodansha,Paperback,176.0,2026.0,2026.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#165), read-2026 (#31)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
249467594,Witch Hat Atelier 15,Kamome Shirahama,"Shirahama, Kamome",,,9798888779781.0,5,Kodansha Comics,Paperback,,2026.0,2025.0,2026/05/03,2026/05/03,,,read,,,,1,0,False,"A beautifully-illustrated story about a girl who longs for magic in her life and learns that, on the inside, she already is what she wishes she could be. This lushly-drawn story has won an Eisner Award and a Harvey Award, and was voted one of the top 10 manga of the year in 2018 by the Japanese manga industry. BRING ON THE LEECHES At long last, Dagda and Custas are back together, reunited in the medical tower. All they should have to do now is wait for the doctors to treat them. But at that moment, Qifrey has a terrible premonition. Meanwhile, Coco has a plan to defend the town from the rampaging valance leeches. But it's a long shot that'll need all the town's witches to work together...",Comics & Graphic Novels,|Comics & Graphic Novels
236773505,"Witch Hat Atelier, Vol. 14",Kamome Shirahama,"Shirahama, Kamome",,,9798888776858.0,5,Kodansha Comics,Paperback,176.0,2026.0,2025.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#164), read-2026 (#30)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
211401518,"Witch Hat Atelier, Vol. 13",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Vanessa Tenazas",,9798888773307.0,5,Kodansha Comics,Paperback,192.0,2025.0,2024.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#163), read-2026 (#29)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
197522392,"Witch Hat Atelier, Vol. 12",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Alanna Ruse, Angela Zurlo, Phil Balsman",,9798888770795.0,5,Kodansha Comics,Paperback,192.0,2024.0,2023.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#162), read-2026 (#28)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
62672577,"Witch Hat Atelier, Vol. 11",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Phil Balsman",1646517458.0,9781646517459.0,5,Kodansha Comics,Paperback,160.0,2023.0,2022.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#161), read-2026 (#27)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
60914201,"Witch Hat Atelier, Vol. 10",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Phil Balsman, Haruko Hashimoto",1646516184.0,9781646516186.0,4,Kodansha Comics ,Paperback,156.0,2022.0,2022.0,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#160), read-2026 (#26)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
59082282,"Witch Hat Atelier, Vol. 9",Kamome Shirahama,"Shirahama, Kamome",Stephen Kohler,1646514475.0,9781646514472.0,4,Kodansha Comics,Paperback,174.0,2022.0,2021.0,2026/05/02,2026/05/01,"mangas, read-2026","mangas (#159), read-2026 (#25)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
56770286,"Witch Hat Atelier, Vol. 8",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Phil Balsman",1646512693.0,9781646512690.0,4,Kodansha Comics,Paperback,154.0,2021.0,2020.0,2026/04/29,2026/04/24,mangas,mangas (#158),read,,,,1,0,False,Descrição não disponível (API 404),mangas,mangas|mangas
231126909,How to Fake It in Society,K.J. Charles,"Charles, K.J.",,1250395917.0,9781250395917.0,4,Bramble,Paperback,320.0,2026.0,2026.0,2026/04/30,2026/04/11,"coming-2026, romance, read-2026","coming-2026 (#11), romance (#100), read-2026 (#24)",read,,,,1,0,False,Descrição não disponível (API 404),"coming-2026, romance, read-2026","coming-2026, romance, read-2026|coming-2026, romance, read-2026"
