Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53014635,Se Deus me Chamar Não Vou,Mariana Salomão Carrara,"Carrara, Mariana Salomão",,"=""8569020457""","=""9788569020455""",0,Nós,Paperback,160,2019,2019,,2026/05/04,to-read,to-read (#183),to-read,,,,0,0
34701167,White Chrysanthemum,Mary Lynn Bracht,"Bracht, Mary Lynn",,"=""052549765X""","=""9780525497653""",0,G.P. Putnam's Sons,Hardcover,320,2018,2018,,2026/05/04,to-read,to-read (#182),to-read,,,,0,0
250019452,とんがり帽子のアトリエ 16 [Tongari Bōshi no Atelier 16],Kamome Shirahama,"Shirahama, Kamome",,"=""4065431522""","=""9784065431528""",5,Kodansha,Paperback,176,2026,2026,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#165), read-2026 (#31)",read,,,,1,0
249467594,Witch Hat Atelier 15,Kamome Shirahama,"Shirahama, Kamome",,"=""""","=""9798888779781""",5,Kodansha Comics,Paperback,,2026,2025,2026/05/03,2026/05/03,,,read,,,,1,0
236773505,"Witch Hat Atelier, Vol. 14",Kamome Shirahama,"Shirahama, Kamome",,"=""""","=""9798888776858""",5,Kodansha Comics,Paperback,176,2026,2025,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#164), read-2026 (#30)",read,,,,1,0
211401518,"Witch Hat Atelier, Vol. 13",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Vanessa Tenazas","=""""","=""9798888773307""",5,Kodansha Comics,Paperback,192,2025,2024,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#163), read-2026 (#29)",read,,,,1,0
197522392,"Witch Hat Atelier, Vol. 12",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Alanna Ruse, Angela Zurlo, Phil Balsman","=""""","=""9798888770795""",5,Kodansha Comics,Paperback,192,2024,2023,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#162), read-2026 (#28)",read,,,,1,0
62672577,"Witch Hat Atelier, Vol. 11",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Phil Balsman","=""1646517458""","=""9781646517459""",5,Kodansha Comics,Paperback,160,2023,2022,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#161), read-2026 (#27)",read,,,,1,0
60914201,"Witch Hat Atelier, Vol. 10",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Phil Balsman, Haruko Hashimoto","=""1646516184""","=""9781646516186""",4,Kodansha Comics ,Paperback,156,2022,2022,2026/05/03,2026/05/03,"mangas, read-2026","mangas (#160), read-2026 (#26)",read,,,,1,0
59082282,"Witch Hat Atelier, Vol. 9",Kamome Shirahama,"Shirahama, Kamome",Stephen Kohler,"=""1646514475""","=""9781646514472""",4,Kodansha Comics,Paperback,174,2022,2021,2026/05/02,2026/05/01,"mangas, read-2026","mangas (#159), read-2026 (#25)",read,,,,1,0
56770286,"Witch Hat Atelier, Vol. 8",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Phil Balsman","=""1646512693""","=""9781646512690""",4,Kodansha Comics,Paperback,154,2021,2020,2026/04/29,2026/04/24,mangas,mangas (#158),read,,,,1,0
231126909,How to Fake It in Society,K.J. Charles,"Charles, K.J.",,"=""1250395917""","=""9781250395917""",4,Bramble,Paperback,320,2026,2026,2026/04/30,2026/04/11,"coming-2026, romance, read-2026","coming-2026 (#11), romance (#100), read-2026 (#24)",read,,,,1,0
230025680,"Ultimate X-Men, Vol. 3: The Realm of the Mind",Peach Momoko,"Momoko, Peach","Zach Davisson, Travis Lanham","=""1302958348""","=""9781302958343""",0,Marvel,Paperback,152,2025,2025,,2026/04/22,"comics, to-read","comics (#103), to-read (#181)",to-read,,,,1,0
53130454,"Witch Hat Atelier, Vol. 7",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Haruko Hashimoto, Phil Balsman","=""164651078X""","=""9781646510788""",4,Kodansha Comics,Paperback,170,2021,2020,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#157), read-2026 (#23)",read,,,,1,0
54112688,Witch Hat Atelier Vol. 6,Kamome Shirahama,"Shirahama, Kamome",,"=""1646595750""","=""9781646595754""",4,Kodansha Comics,Kindle Edition,178,2020,2019,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#156), read-2026 (#22)",read,,,,1,0
49497694,"Witch Hat Atelier, Vol. 5",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Ajani Oloye, Jacob Friedman","=""163236929X""","=""9781632369291""",4,Kodansha Comics,Paperback,188,2020,2019,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#155), read-2026 (#21)",read,,,,1,0
44784784,"Witch Hat Atelier, Vol. 4",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Ajani Oloye","=""1632368609""","=""9781632368607""",4,Kodansha Comics,Paperback,188,2019,2018,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#154), read-2026 (#20)",read,,,,1,0
43312297,"Witch Hat Atelier, Vol. 3",Kamome Shirahama,"Shirahama, Kamome",,"=""1632368056""","=""9781632368058""",4,Kodansha Comics,Paperback,190,2019,2018,2026/04/24,2026/04/23,"mangas, read-2026","mangas (#153), read-2026 (#19)",read,,,,1,0
42264867,"Witch Hat Atelier, Vol. 2",Kamome Shirahama,"Shirahama, Kamome",Stephen Kohler,"=""1632368048""","=""9781632368041""",4,Kodansha Comics,Paperback,190,2019,2017,2026/04/23,2026/04/23,"mangas, read-2026","mangas (#152), read-2026 (#18)",read,,,,1,0
40893782,"Witch Hat Atelier, Vol. 1",Kamome Shirahama,"Shirahama, Kamome",Stephen Kohler,"=""163236770X""","=""9781632367709""",4,Kodansha Comics,Paperback,204,2019,2017,2026/04/23,2022/04/20,"mangas, read-2026","mangas (#112), read-2026 (#17)",read,,,,1,0
217247918,"Ultimate X-Men, Vol. 2: Children of the Atom",Peach Momoko,"Momoko, Peach","Zack Davisson, Travis Lanham","=""130295833X""","=""9781302958336""",4,Marvel,Paperback,144,2025,2025,2026/04/22,2026/04/22,"comics, read-2026","comics (#102), read-2026 (#16)",read,,,,1,0
